kicker_player_id,kicker_player_name,season,kicks_in_season,career_length,lasted_5plus
00-0006800,J.Hanson,2006,63,14,1
00-0006800,J.Hanson,2007,71,14,1
00-0006800,J.Hanson,2008,48,14,1
00-0006800,J.Hanson,2009,53,14,1
00-0006800,J.Hanson,2010,33,14,1
00-0006800,J.Hanson,2011,83,14,1
00-0006800,J.Hanson,2012,74,14,1
00-0007308,C.Hentrich,2000,1,3,0
00-0007308,C.Hentrich,2003,6,3,0
00-0007308,C.Hentrich,2004,3,3,0
00-0007622,M.Hollis,1999,75,4,0
00-0007622,M.Hollis,2000,59,4,0
00-0007622,M.Hollis,2001,59,4,0
00-0007622,M.Hollis,2002,73,4,0
00-0007655,J.Holmes,1999,2,3,0
00-0007655,J.Holmes,2000,5,3,0
00-0007655,J.Holmes,2001,1,3,0
00-0007983,M.Husted,1999,61,3,0
00-0007983,M.Husted,2000,17,3,0
00-0007983,M.Husted,2002,4,3,0
00-0008080,C.Jacke,1999,53,1,0
00-0008231,J.Jaeger,1999,15,1,0
00-0008593,N.Johnson,1999,47,1,0
00-0009028,J.Kasay,1999,58,12,1
00-0009028,J.Kasay,2001,51,12,1
00-0009028,J.Kasay,2002,10,12,1
00-0009028,J.Kasay,2003,68,12,1
00-0009028,J.Kasay,2004,50,12,1
00-0009028,J.Kasay,2005,78,12,1
00-0009028,J.Kasay,2006,55,12,1
00-0009028,J.Kasay,2007,55,12,1
00-0009028,J.Kasay,2008,77,12,1
00-0009028,J.Kasay,2009,59,12,1
00-0009028,J.Kasay,2010,46,12,1
00-0009028,J.Kasay,2011,97,12,1
00-0009946,S.Lindsey,2000,12,1,0
00-0010072,R.Longwell,1999,68,13,1
00-0010072,R.Longwell,2000,70,13,1
00-0010072,R.Longwell,2001,76,13,1
00-0010072,R.Longwell,2002,78,13,1
00-0010072,R.Longwell,2003,77,13,1
00-0010072,R.Longwell,2004,76,13,1
00-0010072,R.Longwell,2005,58,13,1
00-0010072,R.Longwell,2006,53,13,1
00-0010072,R.Longwell,2007,64,13,1
00-0010072,R.Longwell,2008,74,13,1
00-0010072,R.Longwell,2009,83,13,1
00-0010072,R.Longwell,2010,49,13,1
00-0010072,R.Longwell,2011,67,13,1
00-0010373,O.Mare,1999,73,14,1
00-0010373,O.Mare,2000,61,14,1
00-0010373,O.Mare,2001,61,14,1
00-0010373,O.Mare,2002,74,14,1
00-0010373,O.Mare,2003,63,14,1
00-0010373,O.Mare,2004,34,14,1
00-0010373,O.Mare,2005,63,14,1
00-0010373,O.Mare,2006,58,14,1
00-0010373,O.Mare,2007,51,14,1
00-0010373,O.Mare,2008,57,14,1
00-0010373,O.Mare,2009,54,14,1
00-0010373,O.Mare,2010,61,14,1
00-0010373,O.Mare,2011,73,14,1
00-0010373,O.Mare,2012,15,14,1
00-0010609,B.Maynard,2003,1,1,0
00-0011859,E.Murray,1999,19,2,0
00-0011859,E.Murray,2000,20,2,0
00-0011970,J.Nedney,1999,20,11,1
00-0011970,J.Nedney,2000,62,11,1
00-0011970,J.Nedney,2001,63,11,1
00-0011970,J.Nedney,2002,67,11,1
00-0011970,J.Nedney,2003,2,11,1
00-0011970,J.Nedney,2005,47,11,1
00-0011970,J.Nedney,2006,64,11,1
00-0011970,J.Nedney,2007,41,11,1
00-0011970,J.Nedney,2008,67,11,1
00-0011970,J.Nedney,2009,54,11,1
00-0011970,J.Nedney,2010,30,11,1
00-0012742,D.Pelfrey,1999,54,1,0
